"Filter","Accessibility","DeclineEmployment","EasyToGo","TravelTooLong","FewJobs"
"Active",0.880418552445317,0.0967423053807038,-0.0793323177301967,-0.00177241236298095,0.0577462820347208
"Car",0.952884709316632,-0.019218469113434,0.0497687142950546,0.00493119303501375,-0.0473783223016946
"Transit",0.926811171007118,0.0165209475168982,0.0576636018832829,-0.0126262537604827,-0.138799586802581
